root,term_structure,notes
CL,Non disponibile,Inserire Contango o Backwardation manualmente
RB,Non disponibile,Inserire Contango o Backwardation manualmente
NG,Non disponibile,Inserire Contango o Backwardation manualmente
HO,Non disponibile,Inserire Contango o Backwardation manualmente
BZ,Non disponibile,Inserire Contango o Backwardation manualmente
GC,Non disponibile,Inserire Contango o Backwardation manualmente
SI,Non disponibile,Inserire Contango o Backwardation manualmente
HG,Non disponibile,Inserire Contango o Backwardation manualmente
PL,Non disponibile,Inserire Contango o Backwardation manualmente
PA,Non disponibile,Inserire Contango o Backwardation manualmente
ZC,Non disponibile,Inserire Contango o Backwardation manualmente
ZS,Non disponibile,Inserire Contango o Backwardation manualmente
ZL,Non disponibile,Inserire Contango o Backwardation manualmente
ZM,Non disponibile,Inserire Contango o Backwardation manualmente
ZW,Non disponibile,Inserire Contango o Backwardation manualmente
KE,Non disponibile,Inserire Contango o Backwardation manualmente
ZO,Non disponibile,Inserire Contango o Backwardation manualmente
ZR,Non disponibile,Inserire Contango o Backwardation manualmente
CC,Non disponibile,Inserire Contango o Backwardation manualmente
KC,Non disponibile,Inserire Contango o Backwardation manualmente
CT,Non disponibile,Inserire Contango o Backwardation manualmente
SB,Non disponibile,Inserire Contango o Backwardation manualmente
OJ,Non disponibile,Inserire Contango o Backwardation manualmente
LBR,Non disponibile,Inserire Contango o Backwardation manualmente
LE,Non disponibile,Inserire Contango o Backwardation manualmente
HE,Non disponibile,Inserire Contango o Backwardation manualmente
GF,Non disponibile,Inserire Contango o Backwardation manualmente
